post_id,source,source_type,source_name,text,timestamp,engagement_metric,lang,migration_flag
45d14c5b-30c2-42b9-80bf-059e2f3c71a0,telegram,primary_dataset,telegram_playstore,"Untuk fitur ""Lebih bagus dan lebih banyak"" daripada WhatsApp dan aplikasi chat lainnya yang sudah saya coba walaupun tidak ada fitur status seperti WhatsApp tapi its ok (no problem). Tapi kekuranganya hanya 1, ""keamanan"" pesan dan panggilan blm end to end seperti WhatsApp jadi agak rentan bocor ke pihak telegram dan pihak ketiga. sorry kalau mbandingin sama WhatsApp karena dia aplikasi chat paling populer sekarang .",2021-07-08T19:15:56Z,242,en,1
5956836a-12d3-4d26-baa7-17b641b82fc0,telegram,primary_dataset,telegram_playstore,"Aplikasinya mantap, kerjaan jadi lebih mudah, Halo mas admin, sekedar usul agar privacy dan security di sempurnakan, terutama pada ""group invite settings"" ditambahkan pilihan agar kita tidak bisa di undang atau di tambahkan ke grups atau channels, mengingat semakin banyaknya spam dan penipuan",2021-07-08T07:20:07Z,2,en,1
8743f350-6f07-40ff-bdea-321f6e9b3176,telegram,primary_dataset,telegram_playstore,"aplikasi nya bagus,,,cuma yg males nya itu tadi saya nonton di tele ,nah penyimpanan saya abis lalu saya ke pengaturan, telegram lalu hapus data ,,saya bodohnya hapus data seharusnya hapus cache,,nah pas mau masuk ke aplikasi telegram nya udh masukin nomer ,,,eh gk dapet SMS verifikasi,,,trus ada bacaan ,terlalu banyak mencoba,coba lagi ,,,,....itu gmn ya solusinya.... Terimakasih",2021-07-06T22:59:30Z,636,en,1
2a278fa8-594d-4d83-86fd-693a7839527f,telegram,primary_dataset,telegram_playstore,"Ada apa ini? Biasanya saya lancarr kok, ini kok ga bisa login. Saya suka uninstal lalu pasang lg karna ga suka hapus data. Mending uninstal dulu lalu unduh lagi. Tp pas login gabisaaa? Huhuuu sedih bgttttt",2021-07-06T01:13:10Z,1,en,1
dd8d25dc-63be-4647-b3dc-9d2dc80bf265,telegram,primary_dataset,telegram_playstore,Sengaja saya kasih 5 Bintang supaya di baca ... Tolong pada pihak aplklisi telegram saya mnta tolong data saya apus semua .. soal ya telegram saya sudah di pakai sama orang saya tdk bisa buka ya lagi mhon apus data saya mksih,2021-07-05T10:45:19Z,0,en,1
382dede3-6957-4b93-a367-26f150fe8b90,telegram,primary_dataset,telegram_playstore,Menarik sama seperti whatsapp,2021-07-01T19:35:17Z,0,en,1
ce508852-738a-4fc0-9321-65f7f8d57406,telegram,primary_dataset,telegram_playstore,Lebih nyaman pake telegram. Soalnya chatnya auto ke back up di sistem profilnya. Jadi kalo ganti perangkat ga perlu ribet buat recovery data di perangkat sebelumnya.,2021-06-30T22:55:22Z,11,en,1
d64caeeb-b100-41dd-b33d-93d5297c189a,telegram,primary_dataset,telegram_playstore,"Keren, dan mudah buat bikin grub atau chat gitu, kayak WHATSAPP gitu, cuman gadang ngelag, betul tidak?",2021-06-30T18:07:35Z,1,en,1
360f2f0a-8991-4249-90af-ed27864b8b8d,telegram,primary_dataset,telegram_playstore,Lebih banyak muatannya dan tdk mengganggu data internal,2021-06-29T21:03:51Z,0,en,1
d13a7f22-e2fe-4ae9-9c22-b4812a0b4e99,telegram,primary_dataset,telegram_playstore,"Aplikasi yg lebih baik dari WhatsApp, Tapi tolong enkripsi end-to-end langsung default jgn harus disetel dulu, biar lebih aman, Terimaksih Telegram atas semua fiturnya",2021-06-29T17:27:15Z,0,en,1
cb8fbcb0-1b14-4756-b2fa-91303767d4a5,telegram,primary_dataset,telegram_playstore,Memudahkan mengirim data,2021-06-29T17:12:25Z,0,en,1
8d233d63-47ae-402b-b216-976535cbaa1a,telegram,primary_dataset,telegram_playstore,"Kalau mau donwload. Donwload ajah. Anjirr paket lengkap ini mah!!!! Kurangnya cuma 1, gk bsa buat status. Kalo udah bisa buat status yakin dan percaya whatsapp gue uninstall",2021-06-28T11:05:16Z,187,en,1
aae15004-69fb-4698-95cc-0720f0ac0b20,telegram,primary_dataset,telegram_playstore,"Bagus hampir perfect , kalo bisa kaya whatsapp lg bisa bikin sttus jga yuk saingann ... Psti bakalan pindah ke tele deh klo ud bs bikin story",2021-06-27T00:02:05Z,1,en,1
b57fb9a6-81a1-4478-baf8-978c7e5114f6,telegram,primary_dataset,telegram_playstore,Perbaiki lagi masalah mengirim file besar mengulang lagi dari awal saat ditinggal pindah ke aplikasi lain,2021-06-26T21:50:03Z,1,en,1
9f81a3a1-d70b-4f24-9bae-498ae24b9a17,telegram,primary_dataset,telegram_playstore,"also add the story feature on whatsapp, to make it more exciting( 3",2021-06-26T17:44:30Z,0,en,1
03542fd9-e166-4609-a621-4f7e854c095a,telegram,primary_dataset,telegram_playstore,Kalau saja telegram ada fitur status saya yakin semua orang akan meninggal kan whatsapp dan beralih memakai telegram semua,2021-06-26T13:41:46Z,0,en,1
0bb91960-062d-48f2-90f5-182223dae995,telegram,primary_dataset,telegram_playstore,Better results,2021-06-26T13:23:08Z,0,en,1
caa397db-8847-423c-9b05-fa95e6ddcc35,telegram,primary_dataset,telegram_playstore,"Bagi yang bilang ""kenapa ga bisa download video? kok lama downloadnya? kenapa balik lagi ke 0% sih?"" mungkin itu memori telegram penuh, karena saya juga suka gitu kalo memori penuh, dan coba ke settings/pengaturan, klik ""data dan penyimpanan"" > ""pemakaian penyimpanan"" > ""hapus cache"" nah, trus tinggal coba download lagi, klo memang ttp gabisa mungkin hp anda yang memo nya penuh atau ada masalah jaringan, coba mulai ulang aja hp nya.",2021-06-26T11:40:14Z,4,en,1
f91d4291-2c9d-4b03-a837-501f004c6a64,telegram,primary_dataset,telegram_playstore,"Aplikasi pengirim pesan saingan Whatsapp, fitur yang komplit dan nyaman untuk dilihat maupun dipakai. Walaupun ada beberapa fitur yang Whatsapp punya namun Telegram tidak punya yang membuatnya kurang memadai. Contohnya adalah tanda centang saat mengirim pesan, kita tidak bisa tahu apakah pesan kita belum/sudah tersampaikan, atau hanya terkirim saja.",2021-06-26T09:21:59Z,0,en,1
